title,r_title,actorList,runtime,director,grade,genre,audience,popularity,release_date,vote,overview
어벤져스: 엔드게임,어벤져스: 엔드게임,"['로버트 다우니 주니어', '크리스 에반스', '크리스 헴스워스']",181,안소니 루소,12세 관람가,"['액션', 'SF']","12,508,895",322.179,2019-04-24,8.6,"인피니티 워 이후 절반만 살아남은 지구, 마지막 희망이 된 어벤져스! 먼저 떠난 그들을 위해 모든 것을 걸었다!"
캡틴 마블,캡틴 마블,"['브리 라슨', '사무엘 L. 잭슨', '벤 멘델슨']",123,애너 보든,12세 관람가,"['액션', '모험', 'SF']","5,799,592",247.608,2019-03-06,7.1,"1995년, 공군 파일럿 시절의 기억을 잃고 크리족 전사로 살아가던 캐럴 댄버스(브리 라슨)가 지구에 불시착한다. 쉴드 신참 요원 닉 퓨리(사무엘 L. 잭슨)에게 발견되어 팀을 이룬 그들은 지구로 향하는 더 큰 위협을 감지하고 힘을 합쳐 전쟁을 끝내야 하는데…"
샤잠!,샤잠!,"['제커리 레비', '애셔 앤젤']",132,데이비드 F. 샌드버그,12세 관람가,"['액션', '판타지', 'SF']","657,294",226.232,2019-03-23,7.2,"솔로몬의 지혜, 헤라클레스의 힘, 아틀라스의 체력, 제우스의 권능, 아킬레스의 용기, 머큐리의 스피드까지 우연히 슈퍼 파워를 얻게 된 소년. 자신의 능력을 깨닫고 악당을 물리치는 슈퍼히어로로 다시 태어난다! 주문을 외쳐라, ‘샤잠’!"
가면라이더 헤이세이 제네레이션즈 FOREVER,[],[],[],[],[],[],[],211.775,2018-12-22,5.1,
명탐정 피카츄,명탐정 피카츄,"['라이언 레이놀즈', '저스티스 스미스']",104,롭 레터맨,전체 관람가,"['액션', '모험', '코미디']","353,171",207.515,2019-05-03,7.2,"기억을 잃은 채 깨어난 피카츄, 난 누구? 여긴 어디? 유일한 단서는 탐정모자에 적힌 해리란 이름과 주소. 주소 속 아파트에서 자신의 말을 유일하게 알아 듣는, 실종된 해리의 아들 팀 굿맨을 만나게 된다. 명탐정의 촉으로 이건 그야말로 대.박.사.건! 사라진 아빠를 찾기 위해 피카츄와 떠나는 기상천외한 모험이 시작된다. 피카피카!"
헬보이,헬보이,"['데이빗 하버', '밀라 요보비치']",121,닐 마샬,청소년 관람불가,"['액션', '모험', '판타지']","323,095",202.512,2019-04-10,5.1,"'헬보이' 자신이 소속된 B.P.R.D의 임무로 영국의 한 비밀 단체의 괴수 사냥을 도우러 갔지만 되려 공격을 당하고, 곧 영국에서 어마어마한 일이 벌어지고 있다는 것을 알게 된다. 서기 566년, 아서왕에게 패하고 몸이 7조각으로 나뉘어 봉인된 '블러드 퀸'을 다시 부활시켜 인류를 파멸시키려는 초자연적 빌런들에 의해 영국은 물론 전 세계가 위험에 빠지게 된다. 헬보이는 이들에 맞서 인류를 위험으로부터 구해야만 하는데…"
애프터,애프터,[],8,마투스 발차르,[],['애니메이션'],[],186.949,2019-04-11,6.1,
도라에몽: 진구의 보물섬,극장판 도라에몽: 진구의 보물섬,"['윤아영', '김정아', '조현정']",108,이마이 카즈아키,전체 관람가,['애니메이션'],"183,220",159.591,2018-03-03,5.6,보물을 찾기로 결심한 진구는 도라에몽의 ‘보물찾기 지도’로 수수께끼 섬을 발견한다.  ‘노진구올라호’를 타고 보물섬으로 향하던 도라에몽과 친구들은 해적에게 습격 당하고 이슬이까지 납치되고 마는데…  우연히 바다에서 표류하던 소년 플록과 앵무새 퀴즈를 만나 보물섬의 비밀에 대해 알게 된다! 과연 캡틴도라와 친구들은 수수께끼 섬에 잠든 환상의 보물을 찾을 수 있을까?
콜드 체이싱,콜드 체이싱,"['리암 니슨', '톰 베이트먼']",118,한스 페터 몰란트,15세 관람가,['액션'],"101,694",157.12,2019-02-07,5.3,"평범한 제설차 운전수이자 올해의 모범시민 ‘넬스 콕스맨’. 법 없이도 살 수 있던 그는 마약 조직의 사이코패스 보스 ‘바이킹’이 꾸며낸 아들의 처참한 죽음 앞에서 분노의 심판자로 다시 태어난다. ‘스피도’, ‘림보’, ‘산타’ 등 마피아들을 연달아 처단하며 그들의 소굴에 한 걸음 가까워질수록 ‘넬스’의 분노는 죽음도 대신할 수 없는 깊은 복수심으로 소용돌이 치는데…"
어벤져스: 인피니티 워,어벤져스: 인피니티 워,"['로버트 다우니 주니어', '조슈 브롤린', '크리스 헴스워스']",149,안소니 루소,12세 관람가,"['액션', '모험', '판타지']","11,212,710",154.554,2018-04-25,8.3,"타노스(조시 브롤린)는 6개의 인피니티 스톤을 획득해 신으로 군림하려 한다. 그것은 곧 인류의 절반을 학살해 우주의 균형을 맞추겠다는 뜻. 타노스는 닥터 스트레인지(베네딕트 컴버배치)가 소유한 타임 스톤, 비전(폴 베타니)의 이마에 박혀 있는 마인드 스톤을 차지하기 위해 지구를 침략한다. 아이언맨(로버트 다우니 주니어)과 스파이더맨(톰 홀랜드)은 가디언즈 오브 갤럭시의 멤버들과 타노스를 상대한다. 지구에선 캡틴 아메리카(크리스 에반스), 완다(엘리자베스"
