1,분노의 질주: 더 익스트림,3653238,136,15세 관람가,58.162,2017-04-12,6.9,빈 디젤, 드웨인 존슨, 샤를리즈 테론,마침내 평화로운 일상으로 돌아온 리더 도미닉(빈 디젤)과 멤버들. 하지만 레티(미셸 로드리게스)와 쿠바에서 신혼을 만끽 중인 도미닉(빈 디젤)에게 불청객이 찾아온다. 전설적인 해커이자 테러 조직의 리더 사이퍼(샤를리즈 테론)는 도미닉을 협박해 자신의 명령을 따르게 한다. 멤버들은 도미닉이 사이퍼와 함께  사상 최악의 테러를 계획하고 있음을 알게 된다.  리더의 배신으로 위기에 놓인 멤버들은 한때 팀을 모두 전멸시키려 했던 데카드 쇼(제이슨 스타뎀)까지 ,['https://movie-phinf.pstatic.net/20170314_17/1489464877358bXa3j_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20170314_17/1489464877358bXa3j_JPEG/movie_image.jpg'],1
2,스타워즈: 깨어난 포스,3273873,135,12세 관람가,33.681,2015-12-15,7.4,데이지 리들리, 존 보예가, 오스카 아이삭,"2번째 데스 스타가 파괴되고 다스 베이더가 사망한 지 약 30년 후,  마지막 남은 제다이인 루크 스카이워커가 사라졌다. 몰락한 은하 제국으로부터 일어난 퍼스트 오더는 루크와 공화국을 찾아내 제거하려 한다. 공화국과 루크의 쌍둥이 여동생 레이아 오르가나가 이끄는 저항군은 퍼스트 오더를 저지하고 루크의 도움을 받기 위해 루크를 찾는다. 저항군 최고의 파일럿 포 다메론은 자쿠 행성의 마을 장로를 만나 루크가 있는 장소의 지도를 얻는다. 카일로 렌이 이끄는 ",['https://movie-phinf.pstatic.net/20151217_88/1450316484956QfUaM_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20151217_88/1450316484956QfUaM_JPEG/movie_image.jpg'],2
3,글래스,466475,129,15세 관람가,152.111,2019-01-16,6.5,제임스 맥어보이, 브루스 윌리스, 사무엘 L. 잭슨,틈틈이 도시의 수호자로 활약하며 지내던 데이빗은 납치범 케빈의 존재를 알게 된다. 두 사람은 서로의 비범한 능력을 알아보지만 대결을 마무리 짓기도 전에 엘리 스테이플 박사(사라 폴슨)에 의해 정신병원에 수감된다. 병원에는 두 사람 외에 미스터 글래스도 입원해 있다. 엘리 박사는 이들을 자신이 슈퍼히어로라 믿는 과대망상 환자로 치부한다. 그 와중에 글래스는 자신만의 계획을 실행에 옮긴다. 불행한 히어로 데이빗과 상처 깊은 안티 히어로 케빈의 대결을 부추기,['https://movie-phinf.pstatic.net/20181227_126/1545900402100CiQHx_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20181227_126/1545900402100CiQHx_JPEG/movie_image.jpg'],3
4,23 아이덴티티,1676011,117,15세 관람가,38.456,2016-09-26,7.2,제임스 맥어보이, 안야 테일러 조이,,"23개의 인격을 가진 남자 케빈(제임스 맥어보이). 어릴 때 엄마에게 학대를 당한 그는 자신을 보호하기 위해 인격들의 리더인 배리, 미성숙한 9살 소년 헤드윅, 여성 패트리샤, 강박증이 있는 데니스 등 23개의 인격을 만들어냈다. 유일하게 자신을 이해하는 플레처 박사(베티 버클리)와 상담을 나누며 인격들을 컨트롤하던 그에게 어느 날 비스트라는 24번째 인격에 대한 믿음이 생겨난다. 비스트를 불러내고자 하는 인격들은 세명의 10대 소녀 케이시, 클레어, ",['https://movie-phinf.pstatic.net/20170207_225/1486428081012r6FQr_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20170207_225/1486428081012r6FQr_JPEG/movie_image.jpg'],3
5,링 2,183318,109,15세 관람가,31.017,2005-03-17,5.6,나오미 왓츠, 사이먼 베이커,,지워버리고 싶은 끔찍한 기억에서 벗어나기 위해  ‘레이첼’은 아들 ‘에이단’과 함께 작은 마을로 이사해 새로운 삶을 준비한다. 마을에서 일어난 사건 현장에서  그녀는 끝난 줄만 알았던 링의 저주가 다시 시작된 것을 직감하는데…  끔찍한 영혼의 저주는 잇따른 죽음을 부르고 숨막히는 공포는 아들 에이단을 향해 뻗쳐온다. 온몸을 조여오는 이 공포에서 벗어나려는 레이첼.  ‘원혼이 원하는 것은 무엇인가’라는 의문은 더욱 커져만 가고… 마침내 레이첼의 끈질긴 모,['https://movie-phinf.pstatic.net/20111222_281/1324505667581uIuxg_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20111222_281/1324505667581uIuxg_JPEG/movie_image.jpg'],4
6,12 솔져스,223740,130,15세 관람가,39.026,2018-01-16,5.6,크리스 헴스워스, 마이클 섀넌, 마이클 페나,"2001년 9월 11일, 뉴욕 세계무역센터 테러가 발생하자 정부는 테러 조직이 은둔해 있는 거점을 파괴할 계획을 세운다. 제5특전단 595 알파작전 분견대원들은 죽어도 세상에 죽었다고 알리지 못할 임무를 맡게 된다. 실전 경험은 부족하나 오랜 훈련 기간 동안 부대원들의 두터운 신망을 얻고 있었던 미치 대위(크리스 헴스워스)는 장군 앞에서 거의 떼를 쓰듯 자신과 부대원들을 보내 달라고 사정한다. 아군과 적군을 사실상 구분할 수 없는 상황에서 미치를 비롯한",['https://movie-phinf.pstatic.net/20180409_274/1523251123010pBDci_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20180409_274/1523251123010pBDci_JPEG/movie_image.jpg'],5
7,헬보이,323095,121,청소년 관람불가,202.512,2019-04-10,5.1,데이빗 하버, 밀라 요보비치,,"헬보이' 자신이 소속된 B.P.R.D의 임무로 영국의 한 비밀 단체의 괴수 사냥을 도우러 갔지만 되려 공격을 당하고, 곧 영국에서 어마어마한 일이 벌어지고 있다는 것을 알게 된다. 서기 566년, 아서왕에게 패하고 몸이 7조각으로 나뉘어 봉인된 '블러드 퀸'을 다시 부활시켜 인류를 파멸시키려는 초자연적 빌런들에 의해 영국은 물론 전 세계가 위험에 빠지게 된다. 헬보이는 이들에 맞서 인류를 위험으로부터 구해야만 하는데…",['https://movie-phinf.pstatic.net/20190404_205/155434484507891fje_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20190404_205/155434484507891fje_JPEG/movie_image.jpg'],6
8,엣지 오브 투모로우,4697209,113,12세 관람가,58.37,2014-05-27,7.6,톰 크루즈, 에밀리 블런트, 빌 팩스톤,"가까운 미래, 미믹이라 불리는 외계 종족의 침략으로 인류는 멸망 위기를 맞는다. 전투를 치른 경험이 한번도 없는 군 공보관 소속 빌 케이지(톰 크루즈) 소령은 전쟁터에 가서 군 홍보 영상을 찍어오라는 4성 장군의 명령을 거절한다. 그 죄로 자살 특공대에 투입된다. 하지만 불가능한 일이 일어난다. 그가 다시 그 끔찍한 날이 시작된 시간에 다시 깨어나 다시 전투에 참여하게 되고 다시 죽었다가 또 다시 살아나는 것. 다시 작전에 참여해 죽었다가 눈을 뜨기를 ",['https://movie-phinf.pstatic.net/20140616_233/1402884025598j42IR_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20140616_233/1402884025598j42IR_JPEG/movie_image.jpg'],7
9,위플래쉬,1589048,106,15세 관람가,34.075,2014-10-10,8.4,마일즈 텔러, J.K. 시몬스,,"최고의 드러머가 되기 위해서라면 무엇이든 할 각오가 되어있는 음악대학 신입생 앤드류는 아무도 없는 지하실에서 혼자 드럼을 연습하던 중 우연한 기회로 누구든지 성공으로 이끄는 최고의 실력자이지만, 또한 동시에 최악의 폭군인 플렛처 교수에게 발탁되어 그의 밴드에 들어가게 된다. 설레는 마음으로 참가한 첫 연습에서, 그는 플렛처 교수의 진짜 얼굴을 마주치게 된다. 폭언과 학대 속에 좌절과 성취를 동시에 안겨주는 플렛처의 지독한 교육방식은 천재가 되길 갈망하는",['https://movie-phinf.pstatic.net/20150226_168/1424932564346zCMPn_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20150226_168/1424932564346zCMPn_JPEG/movie_image.jpg'],8
10,샤잠!,657294,132,12세 관람가,226.232,2019-03-23,7.2,제커리 레비, 애셔 앤젤,,"솔로몬의 지혜, 헤라클레스의 힘, 아틀라스의 체력, 제우스의 권능, 아킬레스의 용기, 머큐리의 스피드까지 우연히 슈퍼 파워를 얻게 된 소년. 자신의 능력을 깨닫고 악당을 물리치는 슈퍼히어로로 다시 태어난다! 주문을 외쳐라, ‘샤잠’!",['https://movie-phinf.pstatic.net/20190322_198/1553220632606va06v_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20190322_198/1553220632606va06v_JPEG/movie_image.jpg'],9
11,데드풀 2,3784630,117,청소년 관람불가,50.107,2018-05-10,7.5,라이언 레이놀즈, 조슈 브롤린, 재지 비츠,"암 치료를 위한 비밀 실험에 참여한 후, 강력한 힐링팩터 능력을 지닌 슈퍼히어로 데드풀로 거듭난 웨이드 윌슨(라이언 레이놀즈)은 여자친구 바네사(모레나 바카린)와 더없이 행복한 시간을 보낸다. 그러나 행복도 잠시, 눈 앞에서 소중한 연인을 잃어버리고 삶의 의미를 상실하지만 자기 치유 능력 때문에 죽고 싶어도 죽지를 못한다. 밑바닥까지 내려간 데드풀은 더 나은 사람이 되기로 결심한다. 한편 미래에서 온 케이블(조시 브롤린)은 러셀을 집요하게 쫓는다. 데드",['https://movie-phinf.pstatic.net/20180510_219/1525934615322rulbv_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20180510_219/1525934615322rulbv_JPEG/movie_image.jpg'],10
12,신비한 동물들과 그린델왈드의 범죄,2414195,134,12세 관람가,64.294,2018-11-14,6.9,에디 레드메인, 조니 뎁, 캐서린 워터스턴,"마법 세계와 비마법 세계의 공존을 깨려고 했던 그린델왈드는 뉴트 스캐맨더(에디 레드메인)와 미국 마법부 의회에 의해 붙잡혔지만, 유럽으로 이송하는 과정에서 탈출하고 만다. 그린델왈드의 탈출 목적은 프랑스 파리에 머무는 것으로 추정되는 크레덴스(에즈라 밀러)를 포섭해 자신의 수하로 삼는 것. 영국으로 돌아왔던 뉴트는 덤블도어 교수(주드 로)로부터 자신은 나설 수 없으니 그린델왈드에 맞서달라는 지령을 받고 역시 파리로 향한다. 뉴트의 친구들, 제이콥(댄 포",['https://movie-phinf.pstatic.net/20181029_21/1540774701820gU85o_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20181029_21/1540774701820gU85o_JPEG/movie_image.jpg'],11
13,벤자민 버튼의 시간은 거꾸로 간다,1747305,166,12세 관람가,39.885,2008-12-25,7.5,브래드 피트, 케이트 블란쳇,,"1차 세계 대전 말 뉴올리언즈. 80세의 외모를 가진 아기 벤자민 버튼이 태어난다. 사랑하는 아내가 벤자민을 낳다 세상을 떠난 것에 대한 분노와 아이의 평범하지 않은 외모에 경악한 벤자민의 아버지는 분노를 참지 못하고 그를 놀란 하우스 양로원 현관 앞에 버린다. 놀란 하우스에서 일하는 퀴니에게 발견된 벤자민. 퀴니를 엄마로, 그곳의 할아버지, 할머니들을 친구로 살아가는 벤자민은 해가 갈수록 젊어지는 자신을 발견한다. 12살이 되어 60대 외형을 가지게 ",['https://movie-phinf.pstatic.net/20171019_97/1508402551314iLFSM_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20171019_97/1508402551314iLFSM_JPEG/movie_image.jpg'],12
14,헌터 킬러,56942,121,15세 관람가,32.693,2018-10-19,6.3,제라드 버틀러, 게리 올드만,,"미 국방부는 격추당한 잠수함의 행방을 찾기 위해 ‘헌터 킬러’를 극비리에 투입시키고 캡틴 ‘글래스’(제라드 버틀러)는 배후에 숨겨진 음모가 있음을 알게 된다. 한편, 지상에서는 VIP가 납치되어 전세계는 초긴장 상태에 놓이게 되는데…  일촉즉발 위기상황, VIP를 구출하라!  단 한 척의 공격 잠수함 ‘헌터 킬러’와 최정예 특수부대 네이비 씰의 숨막히는 육해공 합동 작전이 펼쳐진다!",['https://movie-phinf.pstatic.net/20181212_219/1544577062842KarfK_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20181212_219/1544577062842KarfK_JPEG/movie_image.jpg'],13
15,러빙 빈센트,435173,107,15세 관람가,42.489,2017-06-22,8.2,더글러스 부스, 시얼샤 로넌, 제롬 플린,"1890년 7월 27일. 한 남자가 황혼이 지는 프랑스의 작은 시골마을 오베르의 중심가에서 쓰러졌다. 수척한 남자는 총상으로 피가 흐르는 배를 움켜쥐고 있었다. 그는 당시에 잘 알려지지 않았으나 현재에는 세계적으로 유명한 예술가 빈센트 반 고흐였다. 고흐의 비극적인 죽음은 널리 알려져 있으나, 왜 그가 총상을 입었는지는 미스터리로 남아 있다. 살아생전 단 한 점의 그림만을 팔았던 화가 빈센트의 죽음 후 1년, 아르망은 그의 그림을 사랑했던 아버지의 부탁",['https://movie-phinf.pstatic.net/20181206_87/1544080398551iRbue_JPEG/movie_image.jpg?type=m203_290_2'],['https://movie-phinf.pstatic.net/20181206_87/1544080398551iRbue_JPEG/movie_image.jpg'],14
